title,date,host,location,region,blurb,cost,bookingUrl,moreInfoUrl,featureImageUrl,startTime,endTime,dayOfWeek,featuredEvent
Unveiling of restored 1890 map of Concord,2017-09-02,City of Canada Bay Heritage Society Inc,"City of Canada Bay Museum, 1 Bent Street, Concord NSW 2137",Sydney: Inner West,Join the City of Canada Bay Heritage Society as they unveil a restored map of Concord in the 1890s and discuss the history of the Concord community.,"Free, donations welcome",blank,http://historycouncilnsw.org.au/unveiling-restored-1890-map-concord/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Concord-1890-Map_Unveiling-of-restored-1890-map-of-Concord_City-of-Canada-Bay-Heritage-Society-Inc.-1080x675.jpg,1:30,3:30,Saturday ,FALSE
The Good Old Bad Old Days with Warren Fahey,2017-09-05,Sydney Mechanics' School of Arts,"Mitchell Theatre, Sydney Mechanics' School of Arts, 280 Pitt Street, Sydney NSW 2000",Sydney: City,Sydney Mechanics’ School of Arts host Warren Fahey for an eclectic romp through the colourful history of all five precincts of Sydney’s inner east.,"Free, no bookings required",blank,http://historycouncilnsw.org.au/good-old-bad-old-days-warren-fahey/,http://historycouncilnsw.org.au/wp-content/uploads/2017/08/The-good-old-bad-old-days.png,12:30,13:30,Tuesday ,FALSE
The story of Wauchope's Regent Theatre,2017-09-08,Wauchope District Historical Society Inc,"Wauchope Community Arts Hall, Oxley Lane, Wauchope NSW 2446",Mid-North Coast,"In an audio and visual display, the Wauchope District Historical Society showcases the history of the Regent Theatre and brings the past back to life.",Gold coin donation,blank,http://historycouncilnsw.org.au/the-story-of-wauchopes-regent-theatre/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Wauchope-Show-ball-1922-at-Regent-Theatre--1080x675.jpg,14:00,21:00,Friday ,FALSE
La Perouse: One huge history!,2017-09-02,Friends of the Laperouse Museum Inc,"Laperouse Museum, opposite The La Perouse Boatshed, Anzac Parade, La Perouse NSW 2036",Sydney: Eastern Suburbs,Join Greg Bond from the Friends of La Perouse for a walking tour to explore the landscape and colonial structures that reflect La Perouse’s diverse history.,Gold coin donation,blank,http://historycouncilnsw.org.au/la-perouse-huge-history-2017/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Friends-of-the-Laperouse-Museum-Inc..jpg,10:30,0:00,Saturday ,FALSE
Hat Box Treasures - Launch of Exhibition,2017-09-10,Richmond River Historical Society,"165 Molesworth Street, Lismore NSW 2480",Northern Rivers,The Richmond River Historical Society invites you to attend the launch of the exhibition ‘Hat Box Treasures’ to explore the history of hats in Australia.,"Launch is free, exhibition entry fee of $2 after launch",blank,http://historycouncilnsw.org.au/hat-box-treasures-launch-exhibition/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Hat-Box-Treasures-image.jpg,14:00,16:00,Sunday ,FALSE
Come and See the Chinese Fairyland': Sydney’s Chinese dance entertainment in the 1920s-1950s  ,2017-09-02,Chinese Heritage Association of Australia Inc,"Mitchell Theatre, Sydney Mechanics School of Arts, 280 Pitt Street, Sydney NSW 2000",Sydney: City,"Dr Mei-fen Kuo explores how dance reshaped Chinese community politics, gender relations and styles of public gathering from the 1920s to the present.","$8 members, $10 general",blank,http://historycouncilnsw.org.au/come-see-chinese-fairyland-sydneys-chinese-dance-entertainment-1920s-1950s/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Dragon-ball-1080x675.jpg,14:30,16:00,Saturday ,FALSE
John Macarthur - Visionary or Villain,2017-09-09,City of Sydney Historical Association,"Sydney Mechanics School of Arts, 280 Pitt Street, Sydney NSW 2000",Sydney: City,"The City of Sydney Historical Association and Patrick Dodd present a talk which asks, was John Macarthur a visionary or a villain in Australian history?","$3 members, $6 general",blank,http://historycouncilnsw.org.au/john-macarthur-visionary-villain/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/John_Macarthur.jpg,14:00,15:45,Saturday ,FALSE
The Popular is Political: Struggles over national culture in 1970s Australia,2017-09-05,History Council of NSW,"The Mint, 10 Macquarie Street, Sydney NSW 2000",Sydney: City,"Our Annual History Lecture 2017, ‘The Popular is Political: struggles over national culture in 1970s Australia’, will be delivered by Michelle Arrow.","$45 HCNSW Members, $50 General, excludes fees",http://bit.ly/AHL17tix,http://bit.ly/AHL2017,http://historycouncilnsw.org.au/wp-content/uploads/2016/02/HIST_8621_webbanner_HR_final_website-size-1080x453.jpg,18:00,21:00,Tuesday,TRUE
2017 NSW Premier’s History Awards Presentation and Launch of History Week,2017-09-01,State Library of New South Wales,"Gallery Room, Mitchell Library, Macquarie Street, Sydney NSW 2000",Sydney: City,Join us for a glittering evening as we announce the winners of the 2017 NSW Premier’s History Awards and officially launch History Week 2017.,"$50 General, $45 Concession",http://www.sl.nsw.gov.au/events/2017-premiers-history-awards,http://historycouncilnsw.org.au/2017-nsw-premiers-history-awards-presentation-launch-history-week/,http://historycouncilnsw.org.au/wp-content/uploads/2017/08/4879_NSW-Premiers-History-Awards-2017_Web-Banner_AW-copy11-1080x266.jpg,18:00,21:00,Friday,TRUE
"Hashtags, Heroines, and Histories: Popular Culture in History",2017-09-04,"Department of Modern History, Macquarie University","Metcalfe Auditorium, State Library of NSW, Macquarie Street, Sydney NSW 2000",Sydney: City,"Macquarie University’s Department of Modern History, Centre for Media History and Centre of Applied History present a symposium on pop culture in research.",$10 excludes fees,http://bit.ly/HW17MQSymposium,http://historycouncilnsw.org.au/hashtags-heroines-histories-popular-culture-history/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/HIST-8621_postcard_FA_LR_image.jpg,12:30,17:00,Monday,TRUE
The Mirror’s Writing Women,2017-09-03,Inner West Cultural Services,"Dickson St Space, 35-39 Dickson Street, Newtown NSW 2042",Sydney: Inner West,"This History Week, Inner West Cultural Services will host Cathy Perkins, who will explore the female writers of the Australian Woman’s Mirror.",Free,http://bit.ly/WomansMirrorHW17,http://historycouncilnsw.org.au/mirrors-writing-women/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Screen-Shot-2017-07-12-at-2.42.13-pm.png,14:00,15:00,Sunday,TRUE
What sorta man are you anyway': Contested Masculinities in Australian Postwar Cinema,2017-09-02,Lake Mac Libraries,"Toronto Library, corner of Pemell Street and Brighton Avenue, Toronto NSW 2283",Hunter,"This History Week, Lake Mac Libraries will host Chelsea Barnett as she explores how masculinity was represented in postwar Australian cinema.",Free,http://bit.ly/MenFilmHW17,http://historycouncilnsw.org.au/contested-masculinities-postwar-cinema/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/nla.obj-137745734-1-999x675.jpg,10:00,11:00,Saturday,TRUE
Punk: So What’s New?,2017-09-06,Fairfield City Museum and Gallery,"Fairfield City Museum and Gallery, corner of Oxford Street and The Horsely Drive, Smithfield NSW 2164",Greater Sydney,"This History Week, Fairfield City Museum and Gallery will host Fiona Reilly as she explores history’s outrageous fashions.",Free,http://bit.ly/PunkHW17,http://historycouncilnsw.org.au/punk-whats-new/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/a4186008r.jpg,18:00,19:00,Wednesday,TRUE
Sydney on screen: how the moving image shaped a city,2017-09-04,Ashfield Library,"Council Chambers, Ashfield Civic Centre, 260 Liverpool Road, Ashfield NSW 2131",Sydney: Inner West,"This History Week, Ashfield Library will host James Findlay as he explores Sydney’s vibrant cinematic history.",Free,http://bit.ly/SydScreenHW17,http://historycouncilnsw.org.au/sydney-screen-moving-image-shaped-city/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/8618628686_f2b155fe06_o-1080x675.jpg,11:00,12:00,Monday,TRUE
Cycling Communities: Bicycle Clubs in Australia,2017-09-02,The Oaks Historical Society,"The Wollondilly Heritage Centre and Museum, 43 Edward Street, The Oaks NSW 2570",Greater Sydney,"This History Week, The Oaks Historical Society will host Marc Rerceretnam for a look at the history of Australian cycling clubs.",Free,http://bit.ly/BikeClubsHW17,http://historycouncilnsw.org.au/cycling-communities-bicycle-clubs-australia/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/1938-Hercules-St-Bike-DHill-Shop-2-1080x675.jpg,14:00,15:00,Saturday,TRUE
A L Lloyd and Australian folklore,2017-09-04,Sutherland Shire Libraries,"Cronulla Central, 38-60 Croydon Street, Cronulla NSW 2230",Greater Sydney,"This History Week, Sutherland Shire Libraries will host Mark Gregory as he explores the life of A L Lloyd and Australian folk music.",Free,https://www.eventbrite.com.au/e/al-lloyd-and-australian-folklore-tickets-36504811875,http://historycouncilnsw.org.au/l-lloyd-australian-folklore/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/nla.obj-134343919-1-1000x675.jpg,18:00,19:00,Monday,TRUE
May Gibbs in popular culture,2017-09-06,City of Canada Bay Library Service,"Bayroom, Five Dock Library, Level 1, 4-12 Garfield Street, Five Dock NSW 2046",Sydney: Inner West,"This History Week, City of Canada Bay Library Service will host Alison Wishart as she examines the enduring legacy of May Gibbs.",Free,http://bit.ly/MayGibbsHW17,http://historycouncilnsw.org.au/may-gibbs-popular-culture/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Screen-Shot-2017-07-24-at-4.39.24-pm-934x675.png,19:00,20:00,Wednesday,TRUE
"Plein air, place and passion: artist Greg Hansell",2017-09-04,Mid-Western Regional Council Library,"Mudgee Town Hall, 64 Market Street, Mudgee NSW 2850",Central Tablelands,"This History Week, Mid-Western Regional Library will host Carol Roberts as she explores history and the work of Greg Hansell.",Free,http://bit.ly/PleinAirHW17,http://historycouncilnsw.org.au/plein-air-place-and-passion-artist-greg-hansell/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Opening-030-1080x675.jpg,11:00,12:00,Monday,TRUE
The popular culture of long distance love,2017-09-07,Singleton Public Library,"Singleton Public Library, 8-10 Queen Street, Singleton NSW 2330",Hunter,"This History Week, the Singleton Public Library will host Alison Wishart as she shares stories and letters of long distance love.",Free,http://bit.ly/LongDistanceHW17,http://historycouncilnsw.org.au/popular-culture-long-distance-love/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Image-2-Christison-1-713x675.jpg,17:30,18:30,Thursday,TRUE
Mozart and ‘The Doll’: the Elizabethan Theatre Trust and the Institutionalisation of Cultural Hierarchy,2017-09-06,Sydney Mechanics’ School of Arts,"Mitchell Theatre, Level 1, 280 Pitt Street, Sydney NSW 2000",Sydney: City,"This History Week, Sydney Mechanics’ School of Arts will host Richard Waterhouse to explore tensions between ‘high’ and ‘pop’ culture.",Free,http://bit.ly/TheDollHW17,http://historycouncilnsw.org.au/mozart-doll-elizabethan-theatre-trust-institutionalisation-cultural-hierarchy/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/nla.obj-154312190-1-1000x675.jpg,12:30,13:30,Wednesday,TRUE
Popular Culture as Political Performance: The Meaning of Public Drinking in Colonial NSW,2017-09-02,Camden Council Library Service,"Camden Library, 40 John Street, Camden NSW 2570",Greater Sydney,"This History Week, Camden Library will host Matthew Allen for a look at the political performance of public drinking in colonial NSW.",Free,https://www.trybooking.com/book/event?eid=305833,http://historycouncilnsw.org.au/political-performance-public-drinking-colonial-nsw/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/St-Patricks-Dinner-1854-1.png,14:00,15:00,Saturday,TRUE
"Crime Pays: Crooks, History and Popular Culture",2017-09-05,Wollongong City Libraries,"Corrimal District Library and Community Centre, 15 Short Street, Corrimal NSW 2518",Illawarra/South Coast,"This History Week, Wollongong City Libraries will host Rachel Franks who will expose criminals from Australia’s history.",Free,http://bit.ly/CrimePaysHW17,http://historycouncilnsw.org.au/crime-pays-crooks-history-popular-culture/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/a2821047h-1080x675.jpg,18:00,19:00,Tuesday,TRUE
The Self-Made Surgeon,2017-09-05,Shoalhaven Libraries,"Nowra Library, 10 Berry Street, Nowra NSW 2541",Illawarra/South Coast,"This History Week, Shoalhaven Libraries will host Pauline Conolly for an intimate look at the life and scandalous secret of Dr Victor Ratten.",Free,http://bit.ly/SurgeonHW17,http://historycouncilnsw.org.au/self-made-surgeon/,http://historycouncilnsw.org.au/wp-content/uploads/2017/07/Dr-Victor-Ratten-centre-front-at-the-Hobart-General-Hospital-1-1080x675.png,14:00,15:00,Tuesday,TRUE
